seed,length,model,accuracy,avg_confidence,ece,latency_us_per_example,checksum
3,256,ebm_recent_only_reranker,0.04,0.07120833333333328,0.031208333333333234,9.693500120192766,5228
3,512,recurrent_last16,0.068,0.064325,0.0036750000000000094,4.236582200974226,7598
3,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,11.271083727478981,7943
3,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,18.327918369323015,7943
3,512,ebm_recent_only_reranker,0.028,0.07070833333333325,0.04270833333333325,9.818915743380785,5500
4,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,2.1157502196729183,7926
4,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.7940842770040035,7926
4,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,9.93033405393362,7926
4,16,ebm_recent_only_reranker,0.152,0.07062499999999991,0.08137500000000011,7.345249876379967,5330
4,32,recurrent_last16,0.516,0.4795999999999979,0.03640000000000197,1.8292502500116825,7754
4,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.9708339348435402,7503
4,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,8.849499747157097,7503
4,32,ebm_recent_only_reranker,0.104,0.07041666666666664,0.04008333333333342,9.128166362643242,5295
4,64,recurrent_last16,0.274,0.26828750000000035,0.020087499999999495,2.477250061929226,7712
4,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.7753341235220432,7749
4,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.057584080845118,7749
4,64,ebm_recent_only_reranker,0.05,0.07129166666666661,0.021291666666666553,9.425166063010693,5523
4,128,recurrent_last16,0.164,0.14333750000000015,0.020662499999999882,2.7949181385338306,7619
4,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,3.0640000477433205,7608
4,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.617833912372589,7608
4,128,ebm_recent_only_reranker,0.044,0.07129166666666663,0.02729166666666653,9.645584039390087,5628
4,256,recurrent_last16,0.1,0.09740000000000004,0.004600000000000018,3.0054179951548576,7622
4,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,5.161583889275789,7843
4,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.510417960584164,7843
4,256,ebm_recent_only_reranker,0.032,0.0709166666666666,0.03891666666666658,7.949583698064088,5164
4,512,recurrent_last16,0.046,0.056974999999999984,0.013775000000000004,3.731667995452881,8026
4,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,11.244750116020441,7457
4,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,17.118749674409628,7457
4,512,ebm_recent_only_reranker,0.036,0.07187499999999995,0.03587499999999988,9.052168112248182,5524
