file,dataset,position,perturbation,typo10,model,rows,unique,unique_annotated,pipe_n,pipe_rate,strict_n,strict_rate,blankok_n,blankok_rate,cc_n,cc_rate
test_adjusted_position-propcalc_perturbation-random_annotated.csv,gsm8k,propcalc,random,0,gpt-4-0314,532,532,532,242,26.45,484,28.72,484,28.72,484,28.72
test_adjusted_position-propcalc_perturbation-random_annotated.csv,gsm8k,propcalc,random,0,gpt-3.5-turbo-0301,588,588,476,292,5.82,584,7.88,584,7.88,473,6.55
test_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,propcalc,random,1,gpt-4-0314,266,266,266,242,51.24,242,51.24,242,51.24,242,51.24
test_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,propcalc,random,1,gpt-3.5-turbo-0301,586,294,0,584,7.02,2,0.0,294,7.14,0,
SVAMP_adjusted_position-calc_perturbation-add101_annotated.csv,svamp,calc,add101,0,gpt-4-0314,473,473,473,462,93.51,462,93.51,462,93.51,462,93.51
SVAMP_adjusted_position-calc_perturbation-add101_annotated.csv,svamp,calc,add101,0,claude-3-opus-20240229,289,289,289,272,83.09,272,83.09,272,83.09,272,83.09
SVAMP_adjusted_position-calc_perturbation-add101_annotated.csv,svamp,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,291,291,291,284,93.31,284,93.31,284,93.31,284,93.31
SVAMP_adjusted_position-calc_perturbation-add1_annotated.csv,svamp,calc,add1,0,gpt-4-0314,473,473,473,462,75.32,462,75.32,462,75.32,462,75.32
SVAMP_adjusted_position-calc_perturbation-add1_annotated.csv,svamp,calc,add1,0,claude-3-opus-20240229,289,289,289,272,58.09,272,58.09,272,58.09,272,58.09
SVAMP_adjusted_position-calc_perturbation-add1_annotated.csv,svamp,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,291,291,291,284,62.32,284,62.32,284,62.32,284,62.32
SVAMP_adjusted_position-calc_perturbation-random_annotated.csv,svamp,calc,random,0,gpt-4-0314,580,580,580,266,78.57,532,82.14,532,82.14,532,82.14
SVAMP_adjusted_position-calc_perturbation-random_annotated.csv,svamp,calc,random,0,gpt-3.5-turbo-0301,582,582,291,246,16.67,492,18.09,492,18.09,246,16.67
SVAMP_adjusted_position-calc_perturbation-random_annotated.csv,svamp,calc,random,0,claude-3-opus-20240229,578,578,578,269,62.45,538,68.77,538,68.77,538,68.77
SVAMP_adjusted_position-calc_perturbation-random_annotated.csv,svamp,calc,random,0,meta-llama/Llama-3-70b-chat-hf,582,582,582,281,73.31,562,70.46,562,70.46,562,70.46
SVAMP_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,calc,random,1,gpt-3.5-turbo-0301,478,478,2,476,20.38,0,,476,20.38,0,
SVAMP_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,calc,random,1,gpt-4-0314,447,447,447,439,90.21,439,90.21,439,90.21,439,90.21
SVAMP_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,calc,random,1,claude-3-opus-20240229,284,284,284,269,98.51,269,98.51,269,98.51,269,98.51
SVAMP_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,calc,random,1,meta-llama/Llama-3-70b-chat-hf,291,291,291,281,81.85,281,81.85,281,81.85,281,81.85
SVAMP_adjusted_position-copy_perturbation-add101_annotated.csv,svamp,copy,add101,0,gpt-4-0314,263,263,263,262,98.85,262,98.85,262,98.85,262,98.85
SVAMP_adjusted_position-copy_perturbation-add1_annotated.csv,svamp,copy,add1,0,gpt-4-0314,263,263,263,263,98.86,263,98.86,263,98.86,263,98.86
SVAMP_adjusted_position-copy_perturbation-random_annotated.csv,svamp,copy,random,0,gpt-4-0314,526,526,526,262,97.71,524,98.47,524,98.47,524,98.47
SVAMP_adjusted_position-copy_perturbation-random_annotated.csv,svamp,copy,random,0,gpt-3.5-turbo-0301,600,600,300,284,70.77,568,70.25,568,70.25,284,70.77
SVAMP_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,copy,random,1,gpt-3.5-turbo-0301,271,271,2,271,78.6,2,100.0,271,78.6,2,100.0
SVAMP_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,copy,random,1,gpt-4-0314,255,255,255,255,99.22,255,99.22,255,99.22,255,99.22
SVAMP_adjusted_position-propcalc_perturbation-add101_annotated.csv,svamp,propcalc,add101,0,gpt-4-0314,235,235,235,235,89.79,235,89.79,235,89.79,235,89.79
SVAMP_adjusted_position-propcalc_perturbation-add1_annotated.csv,svamp,propcalc,add1,0,gpt-4-0314,235,235,235,235,39.57,235,39.57,235,39.57,235,39.57
SVAMP_adjusted_position-propcalc_perturbation-random_annotated.csv,svamp,propcalc,random,0,gpt-4-0314,470,470,470,235,54.47,470,59.79,470,59.79,470,59.79
SVAMP_adjusted_position-propcalc_perturbation-random_annotated.csv,svamp,propcalc,random,0,gpt-3.5-turbo-0301,562,562,281,273,5.49,546,6.96,546,6.96,273,5.49
SVAMP_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,propcalc,random,1,gpt-3.5-turbo-0301,273,273,0,273,7.33,0,,273,7.33,0,
SVAMP_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,svamp,propcalc,random,1,gpt-4-0314,235,235,235,235,73.62,235,73.62,235,73.62,235,73.62
