batch,candidates,method,reps,latency_ms,scores_per_second,ideal_energy_bytes,checksum
16,1024,exp_sum,30,3.621602764663597,4523963.853755749,131072,3289979.538728
16,1024,logsumexp,30,4.519111104309559,3625491.7442449536,131072,4235.109199
16,1024,softmax,30,6.507334695197642,2517774.2912303642,131072,42.589921
16,1024,temp_softmax_t2,30,5.890765266182522,2781302.4725423427,131072,6.949805
1,8192,raw_argmin,30,0.6733250028143326,12166487.158147192,65536,111840.0
1,8192,rank_margin,30,0.5298083337644737,15462195.435456768,65536,4.617279
1,8192,exp_sum,30,1.7908110981807113,4574463.497753766,65536,1823356.404146
1,8192,logsumexp,30,2.4790764010200896,3304456.4486310943,65536,330.449765
1,8192,softmax,30,2.623006934300065,3123133.184619655,65536,0.77004
1,8192,temp_softmax_t2,30,3.2395916680494947,2528713.751425429,65536,0.088011
8,8192,raw_argmin,15,4.738147261862954,13831566.723874351,524288,587175.0
8,8192,rank_margin,15,2.692258326957623,24342389.191923764,524288,67.794319
8,8192,exp_sum,15,11.719255537415544,5592164.091888443,524288,7042929.084133
8,8192,logsumexp,15,14.898180604601901,4398926.4017753,524288,1317.359914
8,8192,softmax,15,25.978852730865277,2522667.212403001,524288,4.129181
8,8192,temp_softmax_t2,15,20.68212499531607,3168726.618509563,524288,0.386668
16,8192,raw_argmin,7,8.746970278610076,14984845.703720374,1048576,455882.0
16,8192,rank_margin,7,5.232202421341624,25051018.566363294,1048576,52.698886
16,8192,exp_sum,7,26.724410708993673,4904579.615515706,1048576,6770067.127797
16,8192,logsumexp,7,26.342589275113173,4975668.816422257,1048576,1232.750937
16,8192,softmax,7,38.59561315870711,3396033.623329815,1048576,4.030782
16,8192,temp_softmax_t2,7,38.563184573182035,3398889.4187735547,1048576,0.379747
1,65536,raw_argmin,15,4.621538861344257,14180558.027578216,524288,163080.0
1,65536,rank_margin,15,2.601066666344802,25195817.103794463,524288,5.227361
1,65536,exp_sum,15,11.4490139298141,5724161.085116622,524288,7081279.777934
1,65536,logsumexp,15,12.654586074252924,5178833.951221828,524288,195.973725
1,65536,softmax,15,16.908944475774963,3875818.5109597966,524288,0.152065
